period,odds,score,matchID,odds_home,odds_draw,odds_away,score_home,score_away,home_name,home_short,away_name,away_short
09.08.19 ,1.13 / 9.47 / 19.11,4:1,8509,1.13,9.47,19.11,4,1,Liverpool,LIV ,Norwich,NOR 
10.08.19 ,11.02 / 6.45 / 1.26,0:5,8510,11.02,6.45,1.26,0,5,West Ham,WHU ,Man City,MCI 
10.08.19 ,1.97 / 3.57 / 3.95,1:1,8514,1.97,3.57,3.95,1,1,Bournemouth,BOU ,Sheffield Utd,SHE 
10.08.19 ,2.07 / 3.25 / 4.02,0:3,8513,2.07,3.25,4.02,0,3,Watford,WAT ,Brighton Hove,BHA 
10.08.19 ,3.39 / 3.36 / 2.22,0:0,8512,3.39,3.36,2.22,0,0,Crystal Palace,CRY ,Everton,EVE 
10.08.19 ,2.65 / 3.17 / 2.87,3:0,8511,2.65,3.17,2.87,3,0,Burnley,BUR ,Southampton,SOU 
10.08.19 ,1.36 / 5.30 / 8.68,3:1,8515,1.36,5.30,8.68,3,1,Tottenham,TOT ,Aston Villa,AST 
11.08.19 ,3.36 / 3.50 / 2.19,0:1,1082,3.36,3.50,2.19,0,1,Newcastle,NEW ,Arsenal,ARS 
11.08.19 ,2.40 / 3.13 / 3.28,0:0,8516,2.40,3.13,3.28,0,0,Leicester City,LEI ,Wolverhampton,WOL 
11.08.19 ,2.04 / 3.35 / 3.99,4:0,8517,2.04,3.35,3.99,4,0,Man United,MUN ,Chelsea,CHE 
17.08.19 ,1.35 / 5.26 / 8.79,2:1,8518,1.35,5.26,8.79,2,1,Arsenal,ARS ,Burnley,BUR 
17.08.19 ,2.25 / 3.61 / 3.11,1:2,8519,2.25,3.61,3.11,1,2,Aston Villa,AST ,Bournemouth,BOU 
17.08.19 ,2.21 / 3.44 / 3.34,1:1,8523,2.21,3.44,3.34,1,1,Brighton Hove,BHA ,West Ham,WHU 
17.08.19 ,6.49 / 4.54 / 1.49,1:2,8522,6.49,4.54,1.49,1,2,Southampton,SOU ,Liverpool,LIV 
17.08.19 ,2.14 / 3.42 / 3.55,3:1,8521,2.14,3.42,3.55,3,1,Norwich,NOR ,Newcastle,NEW 
17.08.19 ,1.82 / 3.68 / 4.56,1:0,8520,1.82,3.68,4.56,1,0,Everton,EVE ,Watford,WAT 
17.08.19 ,1.36 / 5.46 / 8.14,2:2,8524,1.36,5.46,8.14,2,2,Man City,MCI ,Tottenham,TOT 
18.08.19 ,2.50 / 3.23 / 3.00,1:0,8525,2.50,3.23,3.00,1,0,Sheffield Utd,SHE ,Crystal Palace,CRY 
18.08.19 ,1.72 / 3.83 / 5.00,1:1,8526,1.72,3.83,5.00,1,1,Chelsea,CHE ,Leicester City,LEI 
19.08.19 ,3.00 / 3.28 / 2.47,1:1,8527,3.00,3.28,2.47,1,1,Wolverhampton,WOL ,Man United,MUN 
23.08.19 ,3.01 / 3.39 / 2.41,2:0,8528,3.01,3.39,2.41,2,0,Aston Villa,AST ,Everton,EVE 
24.08.19 ,4.17 / 3.87 / 1.84,2:3,8529,4.17,3.87,1.84,2,3,Norwich,NOR ,Chelsea,CHE 
24.08.19 ,2.35 / 3.27 / 3.23,0:2,8532,2.35,3.27,3.23,0,2,Brighton Hove,BHA ,Southampton,SOU 
24.08.19 ,3.23 / 3.26 / 2.34,1:2,8531,3.23,3.26,2.34,1,2,Sheffield Utd,SHE ,Leicester City,LEI 
24.08.19 ,1.34 / 5.27 / 9.29,1:2,8530,1.34,5.27,9.29,1,2,Man United,MUN ,Crystal Palace,CRY 
24.08.19 ,2.19 / 3.51 / 3.31,1:3,8533,2.19,3.51,3.31,1,3,Watford,WAT ,West Ham,WHU 
24.08.19 ,1.47 / 4.95 / 6.31,3:1,8534,1.47,4.95,6.31,3,1,Liverpool,LIV ,Arsenal,ARS 
25.08.19 ,16.25 / 8.37 / 1.16,1:3,8535,16.25,8.37,1.16,1,3,Bournemouth,BOU ,Man City,MCI 
25.08.19 ,1.78 / 3.46 / 5.21,1:1,8536,1.78,3.46,5.21,1,1,Wolverhampton,WOL ,Burnley,BUR 
25.08.19 ,1.28 / 5.98 / 10.85,0:1,8537,1.28,5.98,10.85,0,1,Tottenham,TOT ,Newcastle,NEW 
31.08.19 ,4.05 / 3.51 / 1.96,1:1,8538,4.05,3.51,1.96,1,1,Southampton,SOU ,Man United,MUN 
31.08.19 ,1.09 / 11.30 / 30.14,4:0,8539,1.09,11.30,30.14,4,0,Man City,MCI ,Brighton Hove,BHA 
31.08.19 ,1.40 / 4.75 / 8.17,2:2,8541,1.40,4.75,8.17,2,2,Chelsea,CHE ,Sheffield Utd,SHE 
31.08.19 ,2.52 / 3.18 / 3.01,1:1,8540,2.52,3.18,3.01,1,1,Newcastle,NEW ,Watford,WAT 
31.08.19 ,2.26 / 3.39 / 3.27,1:0,8544,2.26,3.39,3.27,1,0,Crystal Palace,CRY ,Aston Villa,AST 
31.08.19 ,1.89 / 4.00 / 3.80,2:0,8543,1.89,4.00,3.80,2,0,West Ham,WHU ,Norwich,NOR 
31.08.19 ,1.67 / 4.01 / 5.13,3:1,8542,1.67,4.01,5.13,3,1,Leicester City,LEI ,Bournemouth,BOU 
31.08.19 ,8.75 / 5.38 / 1.34,0:3,8545,8.75,5.38,1.34,0,3,Burnley,BUR ,Liverpool,LIV 
01.09.19 ,2.07 / 3.25 / 3.99,3:2,8546,2.07,3.25,3.99,3,2,Everton,EVE ,Wolverhampton,WOL 
01.09.19 ,2.57 / 3.61 / 2.65,2:2,8547,2.57,3.61,2.65,2,2,Arsenal,ARS ,Tottenham,TOT 
14.09.19 ,1.20 / 7.27 / 14.32,3:1,8548,1.20,7.27,14.32,3,1,Liverpool,LIV ,Newcastle,NEW 
14.09.19 ,2.12 / 3.35 / 3.70,1:0,2292,2.12,3.35,3.70,1,0,Man United,MUN ,Leicester City,LEI 
14.09.19 ,3.03 / 3.39 / 2.39,2:5,8549,3.03,3.39,2.39,2,5,Wolverhampton,WOL ,Chelsea,CHE 
14.09.19 ,2.12 / 3.37 / 3.62,1:1,8552,2.12,3.37,3.62,1,1,Brighton Hove,BHA ,Burnley,BUR 
14.09.19 ,1.41 / 4.91 / 7.65,4:0,8550,1.41,4.91,7.65,4,0,Tottenham,TOT ,Crystal Palace,CRY 
14.09.19 ,2.46 / 3.24 / 3.03,0:1,8551,2.46,3.24,3.03,0,1,Sheffield Utd,SHE ,Southampton,SOU 
14.09.19 ,25.36 / 11.74 / 1.09,3:2,8553,25.36,11.74,1.09,3,2,Norwich,NOR ,Man City,MCI 
15.09.19 ,3.31 / 3.49 / 2.20,3:1,8554,3.31,3.49,2.20,3,1,Bournemouth,BOU ,Everton,EVE 
15.09.19 ,4.07 / 3.86 / 1.86,2:2,8555,4.07,3.86,1.86,2,2,Watford,WAT ,Arsenal,ARS 
16.09.19 ,2.60 / 3.56 / 2.63,0:0,8556,2.60,3.56,2.63,0,0,Aston Villa,AST ,West Ham,WHU 
20.09.19 ,2.04 / 3.64 / 3.55,1:3,8557,2.04,3.64,3.55,1,3,Southampton,SOU ,Bournemouth,BOU 
21.09.19 ,3.04 / 3.47 / 2.32,2:1,8558,3.04,3.47,2.32,2,1,Leicester City,LEI ,Tottenham,TOT 
21.09.19 ,1.96 / 3.78 / 3.68,2:0,8561,1.96,3.78,3.68,2,0,Burnley,BUR ,Norwich,NOR 
21.09.19 ,1.11 / 10.08 / 22.13,8:0,8559,1.11,10.08,22.13,8,0,Man City,MCI ,Watford,WAT 
