period,odds,score,matchID,odds_home,odds_draw,odds_away,score_home,score_away,home_name,home_short,away_name,away_short
21.02.21 ,2.80 / 3.55 / 2.41,1:2,4296,2.80,3.55,2.41,1,2,Aston Villa,AST ,Leicester City,LEI 
21.02.21 ,5.86 / 4.12 / 1.56,0:1,4297,5.86,4.12,1.56,0,1,Arsenal,ARS ,Man City,MCI 
21.02.21 ,1.26 / 6.10 / 10.63,3:1,4298,1.26,6.10,10.63,3,1,Man United,MUN ,Newcastle,NEW 
22.02.21 ,1.78 / 3.49 / 5.05,1:2,4299,1.78,3.49,5.05,1,2,Brighton Hove,BHA ,Crystal Palace,CRY 
23.02.21 ,2.30 / 3.68 / 2.87,3:0,4300,2.30,3.68,2.87,3,0,Leeds United,LEE ,Southampton,SOU 
27.02.21 ,1.28 / 5.92 / 10.04,2:1,4301,1.28,5.92,10.04,2,1,Man City,MCI ,West Ham,WHU 
27.02.21 ,3.97 / 3.35 / 2.00,1:0,4302,3.97,3.35,2.00,1,0,West Brom,WBA ,Brighton Hove,BHA 
27.02.21 ,2.65 / 3.57 / 2.53,0:1,4303,2.65,3.57,2.53,0,1,Leeds United,LEE ,Aston Villa,AST 
27.02.21 ,3.46 / 3.19 / 2.22,1:1,4304,3.46,3.19,2.22,1,1,Newcastle,NEW ,Wolverhampton,WOL 
28.02.21 ,2.34 / 3.39 / 3.00,1:3,4305,2.34,3.39,3.00,1,3,Leicester City,LEI ,Arsenal,ARS 
28.02.21 ,2.66 / 3.13 / 2.77,0:0,4306,2.66,3.13,2.77,0,0,Crystal Palace,CRY ,Fulham,FUL 
28.02.21 ,1.55 / 4.02 / 6.09,4:0,4307,1.55,4.02,6.09,4,0,Tottenham,TOT ,Burnley,BUR 
28.02.21 ,2.20 / 3.35 / 3.37,0:0,4308,2.20,3.35,3.37,0,0,Chelsea,CHE ,Man United,MUN 
28.02.21 ,6.34 / 4.49 / 1.49,0:2,1431,6.34,4.49,1.49,0,2,Sheffield Utd,SHE ,Liverpool,LIV 
01.03.21 ,2.05 / 3.57 / 3.57,1:0,4309,2.05,3.57,3.57,1,0,Everton,EVE ,Southampton,SOU 
02.03.21 ,1.18 / 7.14 / 17.61,4:1,4310,1.18,7.14,17.61,4,1,Man City,MCI ,Wolverhampton,WOL 
03.03.21 ,4.65 / 3.62 / 1.79,1:1,4312,4.65,3.62,1.79,1,1,Burnley,BUR ,Leicester City,LEI 
03.03.21 ,3.36 / 3.32 / 2.22,1:0,4311,3.36,3.32,2.22,1,0,Sheffield Utd,SHE ,Aston Villa,AST 
03.03.21 ,6.85 / 4.36 / 1.48,0:0,4313,6.85,4.36,1.48,0,0,Crystal Palace,CRY ,Man United,MUN 
04.03.21 ,4.26 / 3.65 / 1.85,0:1,4314,4.26,3.65,1.85,0,1,West Brom,WBA ,Everton,EVE 
04.03.21 ,3.83 / 3.56 / 1.99,0:1,4315,3.83,3.56,1.99,0,1,Fulham,FUL ,Tottenham,TOT 
04.03.21 ,2.21 / 3.49 / 3.28,0:1,1432,2.21,3.49,3.28,0,1,Liverpool,LIV ,Chelsea,CHE 
06.03.21 ,4.13 / 3.52 / 1.88,1:1,4316,4.13,3.52,1.88,1,1,Burnley,BUR ,Arsenal,ARS 
06.03.21 ,3.42 / 3.41 / 2.13,0:2,4317,3.42,3.41,2.13,0,2,Sheffield Utd,SHE ,Southampton,SOU 
