period,odds,score,matchID,odds_home,odds_draw,odds_away,score_home,score_away,home_name,home_short,away_name,away_short
 13.08.21 13.08. 21h00 SCHEDULED ,3.63 / 3.63 / 1.98,-:-,18482,3.63,3.63,1.98,-,-,Brentford,BRE ,Arsenal,ARS 
 14.08.21 14.08. 13h30 SCHEDULED ,1.61 / 4.10 / 5.23,-:-,18665,1.61,4.10,5.23,-,-,Man United,MUN ,Leeds United,LEE 
 14.08.21 14.08. 16h00 SCHEDULED ,3.20 / 3.09 / 2.38,-:-,18481,3.20,3.09,2.38,-,-,Burnley,BUR ,Brighton Hove,BHA 
 14.08.21 14.08. 16h00 SCHEDULED ,3.38 / 3.48 / 2.11,-:-,18657,3.38,3.48,2.11,-,-,Watford,WAT ,Aston Villa,AST 
 14.08.21 14.08. 16h00 SCHEDULED ,1.60 / 3.89 / 5.64,-:-,18478,1.60,3.89,5.64,-,-,Leicester City,LEI ,Wolverhampton,WOL 
 14.08.21 14.08. 16h00 SCHEDULED ,1.93 / 3.67 / 3.80,-:-,18479,1.93,3.67,3.80,-,-,Everton,EVE ,Southampton,SOU 
 14.08.21 14.08. 16h00 SCHEDULED ,1.28 / 5.69 / 10.14,-:-,18480,1.28,5.69,10.14,-,-,Chelsea,CHE ,Crystal Palace,CRY 
 14.08.21 14.08. 18h30 SCHEDULED ,8.43 / 5.61 / 1.32,-:-,18475,8.43,5.61,1.32,-,-,Norwich,NOR ,Liverpool,LIV 
 15.08.21 15.08. 15h00 SCHEDULED ,3.27 / 3.36 / 2.20,-:-,18476,3.27,3.36,2.20,-,-,Newcastle,NEW ,West Ham,WHU 
 15.08.21 15.08. 17h30 SCHEDULED ,4.82 / 3.97 / 1.67,-:-,18474,4.82,3.97,1.67,-,-,Tottenham,TOT ,Man City,MCI 
 21.08.21 21.08. 13h30 SCHEDULED ,/  /,-:-,18487,/  /,,,-,-,Liverpool,LIV ,Burnley,BUR 
 21.08.21 21.08. 16h00 SCHEDULED ,/  /,-:-,18489,/  /,,,-,-,Crystal Palace,CRY ,Brentford,BRE 
 21.08.21 21.08. 16h00 SCHEDULED ,/  /,-:-,18486,/  /,,,-,-,Man City,MCI ,Norwich,NOR 
 21.08.21 21.08. 16h00 SCHEDULED ,/  /,-:-,18488,/  /,,,-,-,Leeds United,LEE ,Everton,EVE 
 21.08.21 21.08. 16h00 SCHEDULED ,/  /,-:-,18491,/  /,,,-,-,Aston Villa,AST ,Newcastle,NEW 
 21.08.21 21.08. 18h30 SCHEDULED ,/  /,-:-,18490,/  /,,,-,-,Brighton Hove,BHA ,Watford,WAT 
 22.08.21 22.08. 15h00 SCHEDULED ,/  /,-:-,18485,/  /,,,-,-,Southampton,SOU ,Man United,MUN 
 22.08.21 22.08. 15h00 SCHEDULED ,/  /,-:-,18483,/  /,,,-,-,Wolverhampton,WOL ,Tottenham,TOT 
 22.08.21 22.08. 17h30 SCHEDULED ,/  /,-:-,18694,/  /,,,-,-,Arsenal,ARS ,Chelsea,CHE 
 23.08.21 23.08. 21h00 SCHEDULED ,/  /,-:-,18484,/  /,,,-,-,West Ham,WHU ,Leicester City,LEI 
 28.08.21 28.08. 13h30 SCHEDULED ,/  /,-:-,18704,/  /,,,-,-,Man City,MCI ,Arsenal,ARS 
 28.08.21 28.08. 16h00 SCHEDULED ,/  /,-:-,18502,/  /,,,-,-,Aston Villa,AST ,Brentford,BRE 
 28.08.21 28.08. 16h00 SCHEDULED ,/  /,-:-,18700,/  /,,,-,-,Norwich,NOR ,Leicester City,LEI 
